Demand for PJM Interconnection LLC (PJM) American Electric Power zone hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390296&sdid=EBA.PJM-AEP.D.H
19:27:58 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.PJM-AEP.D.H megawatthours
10/23/2022 10H,11074
10/23/2022 09H,10871
10/23/2022 08H,10714
10/23/2022 07H,10716
10/23/2022 06H,10742
10/23/2022 05H,10958
10/23/2022 04H,11276
10/23/2022 03H,11711
10/23/2022 02H,12148
10/23/2022 01H,12557
10/23/2022 00H,12629
10/22/2022 23H,12449
10/22/2022 22H,12350
10/22/2022 21H,12280
10/22/2022 20H,12088
10/22/2022 19H,12145
10/22/2022 18H,12320
10/22/2022 17H,12488
10/22/2022 16H,12734
10/22/2022 15H,13167
10/22/2022 14H,13558
10/22/2022 13H,13661
10/22/2022 12H,13339
10/22/2022 11H,12596
10/22/2022 10H,11994
10/22/2022 09H,11873
10/22/2022 08H,11543
10/22/2022 07H,11375
10/22/2022 06H,11436
10/22/2022 05H,11567
10/22/2022 04H,11907
10/22/2022 03H,12655
10/22/2022 02H,12726
10/22/2022 01H,12950
10/22/2022 00H,12975
10/21/2022 23H,12777
10/21/2022 22H,12741
10/21/2022 21H,12785
10/21/2022 20H,13148
10/21/2022 19H,13246
10/21/2022 18H,13416
10/21/2022 17H,13656
10/21/2022 16H,13764
10/21/2022 15H,14321
10/21/2022 14H,15130
10/21/2022 13H,15807
10/21/2022 12H,15882
10/21/2022 11H,15104
10/21/2022 10H,14126
10/21/2022 09H,13410
10/21/2022 08H,13075
10/21/2022 07H,12902
10/21/2022 06H,12766
10/21/2022 05H,12962
10/21/2022 04H,13267
10/21/2022 03H,13720
10/21/2022 02H,14128
10/21/2022 01H,14437
10/21/2022 00H,14495
10/20/2022 23H,14012
10/20/2022 22H,13790
10/20/2022 21H,13377
10/20/2022 20H,13358
10/20/2022 19H,13706
10/20/2022 18H,14121
10/20/2022 17H,14914
10/20/2022 16H,14785
10/20/2022 15H,15321
10/20/2022 14H,16028
10/20/2022 13H,16485
10/20/2022 12H,16484
10/20/2022 11H,15821
10/20/2022 10H,14682
10/20/2022 09H,13956
10/20/2022 08H,13630
10/20/2022 07H,13517
10/20/2022 06H,13497
10/20/2022 05H,13533
10/20/2022 04H,13847
10/20/2022 03H,14405
10/20/2022 02H,14859
10/20/2022 01H,15181
10/20/2022 00H,15085
10/19/2022 23H,14230
10/19/2022 22H,14169
10/19/2022 21H,14079
10/19/2022 20H,14192
10/19/2022 19H,14426
10/19/2022 18H,14680
10/19/2022 17H,14927
10/19/2022 16H,15103
10/19/2022 15H,15357
10/19/2022 14H,15569
10/19/2022 13H,15691
10/19/2022 12H,15707
10/19/2022 11H,15046
10/19/2022 10H,14053
10/19/2022 09H,13355
10/19/2022 08H,13128
10/19/2022 07H,13210
10/19/2022 06H,13311
10/19/2022 05H,13530
10/19/2022 04H,13965
10/19/2022 03H,14531
10/19/2022 02H,15145
10/19/2022 01H,15702
10/19/2022 00H,15806
10/18/2022 23H,15590
10/18/2022 22H,15280
10/18/2022 21H,15054
10/18/2022 20H,14744
10/18/2022 19H,14864
10/18/2022 18H,15094
10/18/2022 17H,15102
10/18/2022 16H,15235
10/18/2022 15H,15352
10/18/2022 14H,15313
10/18/2022 13H,15429
10/18/2022 12H,15400
10/18/2022 11H,14648
10/18/2022 10H,13451
10/18/2022 09H,12682
10/18/2022 08H,12354
10/18/2022 07H,12329
10/18/2022 06H,12441
10/18/2022 05H,12565
10/18/2022 04H,12962
10/18/2022 03H,13497
10/18/2022 02H,14058
10/18/2022 01H,14447
10/18/2022 00H,14657
10/17/2022 23H,14236
10/17/2022 22H,13813
10/17/2022 21H,13665
10/17/2022 20H,13544
10/17/2022 19H,13556
10/17/2022 18H,13824
10/17/2022 17H,13952
10/17/2022 16H,13832
10/17/2022 15H,13634
10/17/2022 14H,13638
10/17/2022 13H,13720
10/17/2022 12H,13678
10/17/2022 11H,12850
10/17/2022 10H,11869
10/17/2022 09H,11099
10/17/2022 08H,10823
10/17/2022 07H,10764
10/17/2022 06H,10855
10/17/2022 05H,11023
